City,Country,ISO_Country_Code,Region,Month,Item,Quantity,Unit,Price_Local,Currency_Local,Price_USD,Exchange_Rate,YoY_Inflation_Estimate_Pct,FAO_Index_Value,FAO_Index_Date,FAO_YoY_Change_Pct,USDA_All_Food_Forecast_Pct,USDA_Food_At_Home_Pct,Data_Collection_Date,Population_Estimate,Breakfast_Basket_USD,Relative_Item_Price_Pct,z_score_price_usd,scaled_Population_Estimate,scaled_Exchange_Rate,scaled_YoY_Inflation_Estimate_Pct,Continent_Africa,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Item_Category_Bakery,Item_Category_Dairy,Item_Category_Dairy & Eggs,Item_Category_Fruits,Item_Category_Grains,Item_Category_Meat,Item_Category_Vegetables
New York,United States,USA,North America,2025-10-01,Milk (1 Liter),1.0,liter,1.32,USD,1.32,1.0,4.3,127.1,2025-10-01,-1.0,3.1,2.5,2026-03-20,8336817,16.18,8.15822002472188,-0.41635413844740526,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,1,0,0,0,0,0
New York,United States,USA,North America,2025-11-01,Milk (1 Liter),1.0,liter,1.33,USD,1.33,1.0,4.3,126.2,2025-11-01,-1.0,3.1,2.5,2026-03-20,8336817,16.4,8.109756097560977,-0.39743834715250076,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,1,0,0,0,0,0
New York,United States,USA,North America,2025-12-01,Milk (1 Liter),1.0,liter,1.34,USD,1.34,1.0,4.3,125.8,2025-12-01,-1.0,3.1,2.5,2026-03-20,8336817,17.02,7.873090481786135,-0.3785225558575963,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,1,0,0,0,0,0
New York,United States,USA,North America,2026-01-01,Milk (1 Liter),1.0,liter,1.3,USD,1.3,1.0,4.3,124.2,2026-01-01,-1.0,3.1,2.5,2026-03-20,8336817,16.8,7.738095238095238,-0.45418572103721416,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,1,0,0,0,0,0
New York,United States,USA,North America,2026-02-01,Milk (1 Liter),1.0,liter,1.35,USD,1.35,1.0,4.3,125.3,2026-02-01,-1.0,3.1,2.5,2026-03-20,8336817,16.82,8.026159334126042,-0.35960676456269186,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,1,0,0,0,0,0
New York,United States,USA,North America,2026-03-01,Milk (1 Liter),1.0,liter,1.33,USD,1.33,1.0,4.3,126.0,2026-03-01,-1.0,3.1,2.5,2026-03-20,8336817,16.91,7.865168539325842,-0.39743834715250076,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,1,0,0,0,0,0
New York,United States,USA,North America,2025-10-01,Fresh White Bread (500g),500.0,grams,4.38,USD,4.38,1.0,4.3,127.1,2025-10-01,-1.0,3.1,2.5,2026-03-20,8336817,16.18,27.070457354758958,2.5917870423782503,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,1,0,0,0,0,0,0
New York,United States,USA,North America,2025-11-01,Fresh White Bread (500g),500.0,grams,4.41,USD,4.41,1.0,4.3,126.2,2025-11-01,-1.0,3.1,2.5,2026-03-20,8336817,16.4,26.890243902439025,2.6218783719281817,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,1,0,0,0,0,0,0
New York,United States,USA,North America,2025-12-01,Fresh White Bread (500g),500.0,grams,4.53,USD,4.53,1.0,4.3,125.8,2025-12-01,-1.0,3.1,2.5,2026-03-20,8336817,17.02,26.615746180963573,2.7422436901279066,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,1,0,0,0,0,0,0
New York,United States,USA,North America,2026-01-01,Fresh White Bread (500g),500.0,grams,4.62,USD,4.62,1.0,4.3,124.2,2026-01-01,-1.0,3.1,2.5,2026-03-20,8336817,16.8,27.500000000000004,2.8325176787777,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,1,0,0,0,0,0,0
New York,United States,USA,North America,2026-02-01,Fresh White Bread (500g),500.0,grams,4.45,USD,4.45,1.0,4.3,125.3,2026-02-01,-1.0,3.1,2.5,2026-03-20,8336817,16.82,26.456599286563616,2.662000144661423,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,1,0,0,0,0,0,0
New York,United States,USA,North America,2026-03-01,Fresh White Bread (500g),500.0,grams,4.55,USD,4.55,1.0,4.3,126.0,2026-03-01,-1.0,3.1,2.5,2026-03-20,8336817,16.91,26.907155529272618,2.762304576494527,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,1,0,0,0,0,0,0
New York,United States,USA,North America,2025-10-01,White Rice (1 kg),1.0,kg,5.24,USD,5.24,1.0,4.3,127.1,2025-10-01,-1.0,3.1,2.5,2026-03-20,8336817,16.18,32.385661310259586,1.0236033334898196,0.7540312158054041,0.858912930530695,-0.49341674686358766,0,0,0,1,0,0,0,0,0,0,1,0,0
