Date,Impressions,Clicks,Revenue
2026-05-01,6,1,0.0058519999999999996
2026-05-02,5,0,0.0007099999999999999
2026-05-03,5,0,0.0007099999999999999
2026-05-04,31,1,0.009402
2026-05-05,1,0,0.00014199999999999998
2026-05-06,4,1,0.005568
2026-05-07,6,0,0.0008519999999999999
2026-05-08,4,0,0.0005679999999999999
2026-05-09,9,0,0.0012779999999999998
2026-05-10,6,0,0.0008519999999999999
2026-05-11,41,4,0.025822
2026-05-12,1,0,0.00014199999999999998
2026-05-13,6,1,0.0058519999999999996
2026-05-14,4,0,0.0005679999999999999
2026-05-15,9,0,0.0012779999999999998
2026-05-16,2,0,0.00028399999999999996
2026-05-17,7,0,0.0009939999999999999
2026-05-18,41,2,0.015822
2026-05-19,1,0,0.00014199999999999998
2026-05-20,6,0,0.0008519999999999999
2026-05-21,3,0,0.00042599999999999995
2026-05-22,6,1,0.0058519999999999996
2026-05-23,5,0,0.0007099999999999999
2026-05-24,4,0,0.0005679999999999999
2026-05-25,30,1,0.00926
2026-05-26,0,0,0.0
2026-05-27,7,0,0.0009939999999999999
2026-05-28,3,0,0.00042599999999999995
2026-05-29,6,0,0.0008519999999999999
2026-05-30,8,0,0.0011359999999999999
2026-05-31,10,0,0.0014199999999999998
2026-06-01,44,0,0.006247999999999999
2026-06-02,0,0,0.0
2026-06-03,2,0,0.00028399999999999996
2026-06-04,8,0,0.0011359999999999999
2026-06-05,4,1,0.005568
2026-06-06,9,0,0.0012779999999999998
2026-06-07,6,1,0.0058519999999999996
2026-06-08,34,3,0.019828
2026-06-09,1,0,0.00014199999999999998
2026-06-10,7,0,0.0009939999999999999
2026-06-11,8,0,0.0011359999999999999
2026-06-12,12,0,0.0017039999999999998
2026-06-13,4,0,0.0005679999999999999
2026-06-14,3,0,0.00042599999999999995
2026-06-15,40,1,0.010679999999999999
2026-06-16,0,0,0.0
2026-06-17,7,0,0.0009939999999999999
2026-06-18,3,1,0.005426
